Authorised on;Processed on;Amount;Currency;Description;Payment type;Status;Assunto;Amount in foreign currency;Currency;Exchange rate
13.07.23;14.07.23;-16,1;EUR;DM Drogerie Markt;contactless;Processed;DM;;;
13.07.23;14.07.23;-10;EUR;DB Automaten;retail-store;Processed;0;;;
12.07.23;14.07.23;-254,03;EUR;AMZN Mktp DE*2Q9HU4HU5;e-commerce;Processed;amazon;;;
12.07.23;13.07.23;-42,85;EUR;DM-Drogerie Markt;contactless;Processed;DM;;;
12.07.23;13.07.23;-10,5;EUR;KatNi-Bistro;contactless;Processed;restaurante;;;
12.07.23;13.07.23;-28,3;EUR;KatNi-Bistro;contactless;Processed;restaurante;;;
12.07.23;13.07.23;-270,5;EUR;AMZN Mktp DE*VX62Z1HU5;e-commerce;Processed;amazon;;;
12.07.23;12.07.23;-3;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
11.07.23;11.07.23;-10,79;EUR;Fressnapf Fuerstenfel;contactless;Processed;Racao animais;;;
11.07.23;11.07.23;-15,95;EUR;APOTHEKE CENTER 2;retail-store;Processed;farmacia;;;
11.07.23;11.07.23;-45,76;EUR;AMZN Mktp DE*2T0855P35;retail-store;Processed;amazon;;;
10.07.23;10.07.23;-2,6;EUR;BACKSTUBE WUENSCHE;retail-store;Processed;Padaria;;;
10.07.23;10.07.23;-24,94;EUR;REWE Filialen Voll;retail-store;Processed;mercado;;;
10.07.23;10.07.23;-35,64;EUR;REWE Markt GmbH ZW;retail-store;Processed;mercado;;;
10.07.23;10.07.23;-2,97;EUR;EDEKA OLCHING 826;retail-store;Processed;mercado;;;
07.07.23;08.07.23;1.893,25;EUR;Lastschrift;direct-debit;Processed;0;;;
07.07.23;07.07.23;-11,5;EUR;monatlicher Kartenpreis;product-fee;Processed;Taxa cartao M&M;;;
06.07.23;10.06.23;17,96;EUR;AMZ*Amazon;deposit;Processed;amazon;;;
05.07.23;06.07.23;-19,99;EUR;AWG Mode Center;contactless;Processed;compras roupa;;;
04.07.23;05.07.23;-5,43;EUR;Rossmann 1032;contactless;Processed;DM;;;
04.07.23;05.07.23;-11,99;EUR;APPLE.COM/BILL;e-commerce;Processed;Apple iCloud;;;
04.07.23;05.07.23;-13,2;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
04.07.23;10.06.23;164,99;EUR;AMZ*Amazon.de;deposit;Processed;amazon;;;
03.07.23;04.07.23;-50,45;EUR;AMZN Mktp DE*VB3XA8US5;e-commerce;Processed;amazon;;;
01.07.23;03.07.23;-19,9;EUR;AMZN Mktp DE*DI4MO4VT5;e-commerce;Processed;amazon;;;
29.06.23;29.06.23;-25,26;EUR;TK Maxx;retail-store;Processed;compras roupa;;;
28.06.23;30.06.23;-17,96;EUR;Amazon.de;e-commerce;Processed;amazon;;;
27.06.23;27.06.23;-15;EUR;Beeline Retail GmbH /;contactless;Processed;compras roupa;;;
27.06.23;28.06.23;-117,87;EUR;Zara Deutschland 3421;retail-store;Processed;compras roupa;;;
26.06.23;26.06.23;-0,37;EUR;1,95% für Währungsumrechn;foreign-trx-fee;Processed;0;;;
24.06.23;26.06.23;-6,42;EUR;REWE Filialen Voll;contactless;Processed;mercado;;;
